('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         844682 function calls (820384 primitive calls) in 2.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      190    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      189    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      185    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
      171    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      168    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      166    0.000    0.000    0.000    0.000 enum.py:202(__get__)
  164/100    0.000    0.000    0.143    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      157    0.000    0.000    0.000    0.000 enum.py:1292(value)
      157    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      154    0.000    0.000    0.000    0.000 connection.py:418(_prepare_for_sending)
      147    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      146    0.000    0.000    0.000    0.000 connection.py:624(_get_stream_by_id)
      146    0.000    0.000    0.000    0.000 windows.py:36(window_consumed)
      145    0.000    0.000    0.000    0.000 windows.py:92(_maybe_update_window)
      145    0.000    0.000    0.000    0.000 windows.py:75(process_bytes)
  142/104    0.000    0.000    0.006    0.000 typing.py:515(__getitem__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      135    0.000    0.000    0.001    0.000 dataclasses.py:701(_is_type)
      131    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      126    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      126    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      122    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      122    0.000    0.000    0.003    0.000 typing.py:1485(copy_with)
      120    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      112    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
      111    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      111    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      111    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      109    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
      106    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      106    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      105    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      104    0.001    0.000    0.006    0.000 typing.py:694(Union)
      104    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      104    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
      104    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      104    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      102    0.000    0.000    0.000    0.000 threading.py:394(notify)
      102    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
      102    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
      102    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      101    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
      100    0.000    0.000    0.000    0.000 threading.py:468(acquire)
      100    0.000    0.000    0.000    0.000 threading.py:515(release)
      100    0.000    0.000    0.000    0.000 _synchronization.py:298(acquire)
      100    0.000    0.000    0.000    0.000 _synchronization.py:301(release)
       98    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
       98    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
       95    0.000    0.000    0.000    0.000 typing_extensions.py:3350(_check_generic)
       93    0.000    0.000    0.003    0.000 typing.py:1476(__getitem__)
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       91    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
       91    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       89    0.000    0.000    0.008    0.000 dataclasses.py:449(_create_fn)
