('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.001    0.000    0.006    0.000 response.py:122(decompress)
     4478    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
       21    0.001    0.000    1.479    0.070 __init__.py:1(<module>)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      178    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      336    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       19    0.001    0.000    0.111    0.006 {method 'join' of 'bytes' objects}
      190    0.001    0.000    0.081    0.000 _parser.py:969(parse)
      134    0.001    0.000    0.003    0.000 typing.py:1269(__init__)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      892    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       10    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
     1005    0.001    0.000    0.001    0.000 _compiler.py:398(_simple)
      252    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
       77    0.000    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
    168/4    0.000    0.000    0.918    0.230 <frozen importlib._bootstrap_external>:989(exec_module)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    5.534    5.534 financial.py:22(parse_html)
     1207    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      313    0.000    0.000    1.029    0.003 ssl.py:1236(recv_into)
      504    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    439/8    0.000    0.000    0.915    0.114 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      928    0.000    0.000    0.001    0.000 typing.py:1161(_is_dunder)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      328    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      252    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      178    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      211    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
  194/190    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      214    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      464    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      313    0.000    0.000    1.030    0.003 socket.py:706(readinto)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      209    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      534    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
     1008    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       62    0.000    0.000    0.003    0.000 typing.py:694(Union)
      493    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      240    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      190    0.000    0.000    0.050    0.000 _compiler.py:573(_code)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       86    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        5    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.007    0.007 packages.py:1(<module>)
      178    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      198    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      733    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       27    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.115    0.115 __init__.py:1073(decode)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      203    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
      686    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      493    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      405    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      220    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  169/166    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      168    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      313    0.000    0.000    1.028    0.003 ssl.py:1094(read)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      526    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       23    0.000    0.000    0.002    0.000 enum.py:528(__new__)
       54    0.000    0.000    0.002    0.000 typing.py:1476(__getitem__)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      416    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        6    0.000    0.000    0.002    0.000 typing.py:2809(__new__)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3473(_collect_parameters)
      596    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      193    0.000    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    7.566    7.566 financial.py:1(<module>)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      287    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      138    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      294    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      356    0.000    0.000    0.136    0.000 __init__.py:226(compile)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        8    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        3    0.000    0.000    0.027    0.009 utils.py:1(<module>)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3388(_has_generic_or_protocol_as_origin)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      293    0.000    0.000    0.000    0.000 filter.py:623(_match_attribute_value_helper)
      596    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      346    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
      515    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      322    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       40    0.000    0.000    0.110    0.003 response.py:1173(read_chunked)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      313    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      104    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      211    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      168    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      468    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      670    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
    79/46    0.000    0.000    0.700    0.015 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      272    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       20    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
    66/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.058    0.058 dammit.py:1(<module>)
      377    0.000    0.000    0.000    0.000 element.py:2160(get)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      282    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      294    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      194    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      509    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      240    0.000    0.000    0.000    0.000 types.py:192(__init__)
      527    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
